행정동코드,연도,월,연령대_I00,연령대_0_거주인구수,연령대_10_거주인구수,연령대_20_거주인구수,연령대_30_거주인구수,연령대_40_거주인구수,연령대_50_거주인구수,연령대_60_거주인구수,연령대_70_거주인구수,연령대_80_거주인구수,연령대_90_거주인구수
11170520,2021,10,2,322,491,1469,1677,1303,1389,1412,887,451,75
11170520,2021,11,2,318,491,1472,1683,1304,1396,1410,883,448,75
11170520,2021,12,1,319,487,1466,1686,1291,1386,1414,876,454,76
11170530,2021,1,33,188,259,968,1044,1106,1620,1377,692,289,72
11170530,2021,2,33,186,258,948,1051,1097,1641,1380,688,298,70
11170530,2021,4,19,175,256,955,1058,1072,1620,1373,670,295,56
11170530,2021,5,19,174,260,948,1054,1074,1614,1385,668,298,55
11170530,2021,6,9,176,257,942,1044,1056,1580,1362,639,275,43
11170530,2021,7,9,179,252,935,1042,1045,1581,1359,635,274,44
11170530,2021,8,11,181,255,924,1025,1038,1581,1355,636,275,43
11170530,2021,9,11,185,258,931,1032,1027,1586,1366,630,278,43
